id;permalink;username;to;text;date;tetweets;favorites;mentions;hashtag;class
1,00814E+18;https://twitter.com/LuciaMartinez78/status/1008135505026912258;LuciaMartinez78;;Un estudio de lo que nos une. Comparación de propuestas entre Sergio Fajardo, Gustavo Petro y Humberto de la Calle. ¡Votemos informados! http://www.unidosohundidos.com/en-que-nos-parecemos …;2018-06-16 23:53:29+00:00;0;0;;;0
1,00803E+18;https://twitter.com/JsnViloria/status/1008026071801974787;JsnViloria;;Retweeted Juan Carlos Figueroa Godoy ( @juanfigueroag): Valor del voto efectivo por cada candidato: Duque: $3.148 Germán Vargas Lleras: $10.721 Gustavo Petro: $2.516 Humberto de la Calle: $26.600 Fajardo: $1.767 Este... https://www.facebook.com/732978408/posts/10155879742908409/ …;2018-06-16 16:38:38+00:00;0;0;@juanfigueroag;;0
1,00794E+18;https://twitter.com/juanfigueroag/status/1007940473363816450;juanfigueroag;;Valor del voto efectivo por cada candidato: Duque: $3.148 Germán Vargas Lleras: $10.721 Gustavo Petro: $2.516 Humberto de la Calle: $26.600 Fajardo: $1.767 Este país sí tiene arreglo. Gracias @sergio_fajardo y @JERobledo por enseñarnos a hacer política decente.pic.twitter.com/XnCTjPJQRH;2018-06-16 10:58:30+00:00;56;140;@sergio_fajardo @JERobledo;;0
1,00767E+18;https://twitter.com/DSuarezT/status/1007670347200647168;DSuarezT;;Resultados elecciones 2018 1ra vuelta: Iván Duque: 7.616 857 Gustavo Petro: 4.855.069 Sergio Fajardo: 4.602.916 Vargas Lleras: 1.412.392 De la Calle: 396.151 Petro y Vargas Ll. por 2da vez.;2018-06-15 17:05:07+00:00;0;0;;;0
1,0075E+18;https://twitter.com/EdelMorales2/status/1007501785660035073;EdelMorales2;;Gustavo Petro ha recibido las adhesiones del comité ejecutivo del Polo Democrático, de la ex-candidata vicepresidencial de Humberto de la Calle, Clara López, así como de Claudia López –fórmula de Sergio Fajardo– y de... http://www.celag.org/segunda-vuelta-colombia-pre-electoral/ …;2018-06-15 05:55:18+00:00;0;0;;;0
1,00736E+18;https://twitter.com/CamiloSilvaJ/status/1007364155626676224;CamiloSilvaJ;;El ranking de favorabilidad para los mercados financieros lo lidera Iván Duque con una puntuación de 8,7/10, seguido d Vargas Lleras con el 7,9/10. De La Calle con 6,4/10 y Fajardo con 6/10. Para el caso de Gustavo Petro solo alcanza el 2,3/10, siendo el q menos #Confianza genera;2018-06-14 20:48:25+00:00;132;109;;#Confianza;-1
1,00709E+18;https://twitter.com/JorgeOvalleB/status/1007094296699392001;JorgeOvalleB;;Hoy estuvimos en el MIO diciéndole a la gente porque jóvenes de la campaña Sergio Fajardo, Humberto de la Calle y Gustavo Petro creemos que es necesario votar por la Colombia Humana, advirtiéndole al país la... https://www.facebook.com/100009632561501/videos/681389292192150/ …;2018-06-14 02:56:05+00:00;0;0;;;1
1,00671E+18;https://twitter.com/AlPoniente/status/1006714616712519680;AlPoniente;;"""A los votantes por Sergio Fajardo, Humberto de La Calle y Gustavo Petro, les pido unidad."" https://alponiente.com/si-no-nos-unimos-los-mismos-ganaran-el-reinado/ …";2018-06-13 01:47:23+00:00;12;27;;;0
1,00669E+18;https://twitter.com/barreragranados/status/1006691559679709184;barreragranados;QuinteroCalle;Todo indica que Iván Duque es el candidato de las fuerzas armadas. Le hacen calle de honor, lo reciben como si ya fuera el presidente, amenazan a quienes apoyan a Gustavo Petro y fuera de eso, decomisan la publicidad del candidato de la Colombia Humana. Se acordarán de esto pic.twitter.com/U3AOK5bhhj;2018-06-13 00:15:45+00:00;78;114;;;-1
1,00669E+18;https://twitter.com/LeonardMaiguel/status/1006686259375493122;LeonardMaiguel;IngEdalvarez;"Edward mi candidato era Humberto, no tomo la decisión en campaña, por que todos dicen lo que la gente quiere oir, los evalué antes y mi orden era: Humberto de la Calle, Sergío Fajardo, Ivan Duque, Germán Vargas y Gustavo Petro. Omito ""lo que dicen"" por que es hipotetico.";2018-06-12 23:54:42+00:00;0;0;;;0
1,00653E+18;https://twitter.com/leidydianavas/status/1006532278372257794;leidydianavas;;"@sergio_fajardo @DeLaCalleHum Sabe qué Gustavo,APAGUE Y VAMONOS.""Humberto de la Calle"" pic.twitter.com/gh8nVLpBtT";2018-06-12 13:42:50+00:00;0;1;@sergio_fajardo @DeLaCalleHum;;1
